name	 Ue	 X	 mu	 rho	 cf	 Re	 Retheta	 utau	 delta95
SW981112B	 13.0663	 5.5	 1.81293e-05	 1.23852	 0.00265158	 4.9095e+06	 8104.88	 0.475762	 0.0591284
SW981112C	 15.7893	 5.5	 1.81293e-05	 1.23852	 0.00257081	 5.93263e+06	 9556.59	 0.566085	 0.0579529
SW981112D	 21.2327	 5.5	 1.81293e-05	 1.23852	 0.00245375	 7.97792e+06	 12308.9	 0.743712	 0.0561237
SW981113A	 26.8981	 5.5	 1.81819e-05	 1.23389	 0.00236316	 1.00397e+07	 15164.5	 0.924601	 0.0551535
SW981113B	 32.4078	 5.5	 1.81819e-05	 1.23389	 0.00229666	 1.20962e+07	 17813	 1.0982	 0.0543342
SW981113C	 37.8813	 5.5	 1.81819e-05	 1.23389	 0.0022397	 1.41392e+07	 20562	 1.26766	 0.0539533
SW981113D	 43.5709	 5.5	 1.81819e-05	 1.23389	 0.00219164	 1.62628e+07	 23309.6	 1.44234	 0.0535896
SW981113E	 49.1084	 5.5	 1.81825e-05	 1.23383	 0.00215433	 1.83282e+07	 25767.5	 1.61175	 0.0528486
SW981113F	 54.036	 5.5	 1.81866e-05	 1.23347	 0.00213299	 2.01569e+07	 27320.4	 1.76467	 0.0513583
SW981126C	 10.3885	 4.5	 1.81293e-05	 1.24585	 0.00283848	 3.21255e+06	 5688.94	 0.391364	 0.0513392
SW981126D	 13.107	 4.5	 1.81293e-05	 1.24585	 0.00273189	 4.05322e+06	 6930.56	 0.484417	 0.0498944
SW981126E	 15.827	 4.5	 1.81293e-05	 1.24549	 0.00265156	 4.89294e+06	 8105.13	 0.576281	 0.0484303
SW981127A	 21.2075	 4.5	 1.81293e-05	 1.24463	 0.00253137	 6.55181e+06	 10386.9	 0.754488	 0.0469533
SW981127B	 26.905	 4.5	 1.81293e-05	 1.24463	 0.0024334	 8.31198e+06	 12886.4	 0.93848	 0.0460669
SW981127C	 32.369	 4.5	 1.81293e-05	 1.24463	 0.00236854	 1e+07	 14972.8	 1.11392	 0.0452107
SW981127D	 37.8095	 4.5	 1.81308e-05	 1.24449	 0.00231322	 1.16785e+07	 17102.1	 1.28586	 0.0446827
SW981127E	 43.2545	 4.5	 1.81336e-05	 1.2444	 0.0022659	 1.33573e+07	 19235.3	 1.45592	 0.04422
SW981127F	 48.6755	 4.5	 1.81341e-05	 1.24543	 0.00223228	 1.50434e+07	 20958.5	 1.62618	 0.0434825
SW981127G	 52.605	 4.5	 1.81348e-05	 1.24537	 0.00220369	 1.62564e+07	 22579.2	 1.74617	 0.0433432
SW981127H	 10.3385	 3.5	 1.81293e-05	 1.2483	 0.00294705	 2.49152e+06	 4704.77	 0.396859	 0.0426578
SW981127I	 13.1124	 3.5	 1.81293e-05	 1.2483	 0.00283282	 3.16001e+06	 5747.28	 0.493487	 0.0407063
SW981127J	 15.9127	 3.5	 1.81293e-05	 1.2487	 0.00274432	 3.83609e+06	 6768.81	 0.589448	 0.039722
SW981127K	 21.4447	 3.5	 1.81293e-05	 1.2483	 0.00262011	 5.16804e+06	 8634.38	 0.776185	 0.0382558
SW981127L	 26.9945	 3.5	 1.81293e-05	 1.24952	 0.00252622	 6.51187e+06	 10502.1	 0.959391	 0.0372385
SW981127M	 32.4037	 3.5	 1.81294e-05	 1.24951	 0.00245627	 7.81662e+06	 12239.7	 1.13558	 0.0366935
SW981127N	 37.7425	 3.5	 1.81333e-05	 1.24916	 0.00240102	 9.09997e+06	 13878.3	 1.30772	 0.0361564
SW981127O	 43.0233	 3.5	 1.81341e-05	 1.2491	 0.00235362	 1.03722e+07	 15512.3	 1.4759	 0.0357405
SW981127P	 48.3715	 3.5	 1.81342e-05	 1.24908	 0.00230899	 1.16614e+07	 17279.9	 1.64356	 0.0353897
SW981127Q	 53.6277	 3.5	 1.81387e-05	 1.2492	 0.0022767	 1.29266e+07	 18720.2	 1.80937	 0.035049
SW981128A	 10.3911	 2.5	 1.82296e-05	 1.24373	 0.00310145	 1.77235e+06	 3653.9	 0.409195	 0.0328833
SW981128B	 13.1588	 2.5	 1.82296e-05	 1.24394	 0.00299892	 2.2448e+06	 4312.35	 0.509548	 0.0314037
SW981128C	 15.956	 2.5	 1.82296e-05	 1.24427	 0.0028939	 2.72271e+06	 5156.37	 0.606947	 0.0306551
SW981128D	 21.476	 2.5	 1.82248e-05	 1.24469	 0.00276495	 3.66684e+06	 6510.9	 0.798514	 0.0292294
SW981128E	 26.9235	 2.5	 1.82248e-05	 1.24469	 0.00266004	 4.59695e+06	 7969.63	 0.981885	 0.0286114
SW981128F	 32.2365	 2.5	 1.82248e-05	 1.24469	 0.0025938	 5.5041e+06	 9111.69	 1.16092	 0.02772
SW981128G	 37.4438	 2.5	 1.82248e-05	 1.24469	 0.00253468	 6.3932e+06	 10313.8	 1.33299	 0.0272036
SW981128H	 42.751	 2.5	 1.82248e-05	 1.24469	 0.00247529	 7.29936e+06	 11733	 1.50399	 0.0270646
SW981128I	 47.9295	 2.5	 1.82248e-05	 1.24469	 0.00243408	 8.18354e+06	 12866.8	 1.67207	 0.0266645
SW981128J	 53.1545	 2.5	 1.82248e-05	 1.24469	 0.00238845	 9.07567e+06	 14289.5	 1.83689	 0.0266361
SW981129A	 10.5571	 1.5	 1.81284e-05	 1.25693	 0.00334785	 1.09796e+06	 2532.6	 0.431929	 0.0228425
SW981129B	 13.3715	 1.5	 1.81284e-05	 1.25816	 0.00321761	 1.39203e+06	 3057.99	 0.536329	 0.0215181
SW981129C	 16.2137	 1.5	 1.81293e-05	 1.25808	 0.00310195	 1.68772e+06	 3651.05	 0.638537	 0.0209599
SW981129D	 21.7993	 1.5	 1.81293e-05	 1.25808	 0.00295863	 2.26914e+06	 4613.26	 0.838442	 0.0199714
SW981129E	 27.3139	 1.5	 1.81293e-05	 1.25808	 0.00285878	 2.84317e+06	 5485.93	 1.03267	 0.0193107
SW981129F	 32.6601	 1.5	 1.81293e-05	 1.25823	 0.00278581	 3.40007e+06	 6263	 1.21893	 0.0186659
SW981129G	 37.9425	 1.5	 1.81293e-05	 1.2593	 0.0027158	 3.95335e+06	 7147.37	 1.39817	 0.0183317
SW981129H	 43.2311	 1.5	 1.81305e-05	 1.2592	 0.00265934	 4.50373e+06	 7980.8	 1.57641	 0.0181758
SW981129I	 48.4539	 1.5	 1.81341e-05	 1.25887	 0.00260672	 5.04551e+06	 8873.17	 1.74929	 0.0180173
SW981129J	 53.7075	 1.5	 1.81341e-05	 1.25887	 0.00254165	 5.59257e+06	 10161.9	 1.9146	 0.0179473
